#,Produit,Catégorie,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Sensible,Irritation,Force,Preuve,Sans parfum,Image
1,CeraVe Foaming Facial Cleanser,nettoyant,15.97,4.8,102671,46,niacinamide/céramides,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/001_B01N1LL62W.png
2,The Ordinary Squalane Cleanser,nettoyant,10.5,4.6,5888,2749,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/002_B07PSKR85S.png
3,Cetaphil Hydrating Gentle Skin Cleanser,nettoyant,9.99,4.7,15274,265,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/003_B099N3NM61.png
4,CeraVe Hydrating Facial Cleanser,nettoyant,13.49,4.7,131467,35,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/004_B01MSSDEPK.png
5,Vanicream Gentle Facial Cleanser,nettoyant,9.97,4.7,34109,42,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/005_B00QY1XZ4W.png
6,Neutrogena Hydro Boost Cleansing Gel,nettoyant,19.99,4.7,24707,40902,acide hyaluronique,flaking,"normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/006_B01LETURZI.png
7,La Roche-Posay Effaclar Purifying Gel,nettoyant,18.73,4.7,54610,1609,zinc,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/007_B003JSEGNC.png
8,LRP Toleriane Hydrating Gentle Cleanser,nettoyant,14.98,4.6,38786,47,céramides/niacinamide,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/008_B01N7T7JKJ.png
9,Paula's Choice CLEAR Pore Normalizing Cleanser,nettoyant,16.78,4.6,6973,2921,acide salicylique,"acne, comedones, pores, shine","grasse, mixte",both,daily,⛔ non,⚠ non,1,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/009_B06ZYNQZKF.png
10,First Aid Beauty Ultra Gentle Cleanser,nettoyant,12,4.6,2167,4171,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/010_B0FY763X7R.png
11,Bioderma Sébium Gel Moussant,nettoyant,13.99,4.6,21655,11165,zinc/cuivre,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/011_B000TUNMW4.png
12,Krave Beauty Matcha Hemp Cleanser,nettoyant,12,4.6,822,6701,matcha,"flaking, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/012_B0BZ9KMY3S.png
13,Fresh Soy Face Cleanser,nettoyant,72,4.5,102,77100,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/013_B08GN1K8X6.png
14,Drunk Elephant Beste No.9 Jelly Cleanser,nettoyant,36,4.7,2707,23249,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/014_B076639783.png
15,Youth To The People Superfood Cleanser,nettoyant,27.3,4.6,10020,1201,antioxydants,"pores, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/015_B018A0BO92.png
16,CeraVe Moisturizing Cream,hydratant,16.2,4.7,145069,41,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/016_B00TTD9BRC.png
17,CeraVe PM Facial Moisturizing Lotion,hydratant,14.97,4.7,62188,61,niacinamide/céramides,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/017_B00365DABC.png
18,Cetaphil Moisturizing Cream,hydratant,8.35,4.8,39122,49,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/018_B00BMJTOZK.png
19,Vanicream Moisturizing Cream,hydratant,13.56,4.6,49307,150,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/019_B000NWGCZ2.png
20,Neutrogena Hydro Boost Water Gel,hydratant,24.99,4.6,88231,6909,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/020_B00NR1YQHM.png
21,LRP Toleriane Double Repair Moisturizer,hydratant,18.75,4.6,49818,22,céramides/niacinamide,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/021_B01N9SPQHQ.png
22,First Aid Beauty Ultra Repair Cream,hydratant,29.4,4.6,18940,1662,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/022_B0FY3Q2F2M.png
23,Paula's Choice CLEAR Oil-Free Moisturizer,hydratant,27.28,4.6,1991,7866,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/023_B07HZWXGJ7.png
24,Kiehl's Ultra Facial Cream,hydratant,50.4,4.7,7553,778,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/024_B00C6SV33M.png
25,Clinique Dramatically Different Moisturizing Gel,hydratant,11.9,4.7,5024,3761,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/025_B000WZAL5M.png
26,Avène Tolerance Control Cream,hydratant,26.6,4.6,2453,3456,barrière/postbiotique,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/026_B08XYV3YGB.png
27,Belif Aqua Bomb (ex « True Cream Aqua Bomb »),hydratant,16.8,4.7,1926,3819,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/027_B0CRS3433N.png
28,Tatcha The Water Cream,hydratant,59.2,4.6,4673,6956,botaniques japonais,"flaking, radiance","normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/028_B072NNC2LR.png
29,Drunk Elephant Lala Retro Whipped Cream,hydratant,52.8,4.4,2058,19679,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/029_B01J1ZBJSG.png
30,Weleda Skin Food,hydratant,15.99,4.5,35146,1529,baume riche,flaking,"normale, seche",both,daily,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/030_B000ORV3NC.png
31,CeraVe Hydrating Mineral Sunscreen SPF 30 (Face),spf,13.97,4.2,9198,8678,minéral,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/031_B07KL5K96X.png
32,Neutrogena Ultra Sheer Dry-Touch SPF 70,spf,9.88,4.5,38826,75,chimique,tone_evenness,tous,am,daily,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/032_B005IHT94S.png
33,Beauty of Joseon Relief Sun SPF 50,spf,8.99,4.3,146,58540,chimique léger,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/033_B0CW1D1LS8.png
34,Black Girl Sunscreen SPF 30,spf,9.99,4.7,8727,240,chimique (no white cast),tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/034_B0CV9R8DTK.png
35,Vanicream Facial Moisturizer SPF 30,spf,13.97,4.5,4150,876,minéral sans parfum,"flaking, redness, tone_evenness","normale, seche, sensible",am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/035_B09VLLZM3N.png
36,LRP Anthelios Melt-in Milk SPF 60,spf,28.49,4.6,14895,584,chimique,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/036_B002CML1VG.png
37,EltaMD UV Clear SPF 46,spf,45,4.5,69115,14,niacinamide (hybride),"pores, redness, shine, tone_evenness","grasse, mixte, sensible",am,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/037_B002MSN3QQ.png
38,LRP Anthelios Tinted Mineral Sunscreen,spf,29.98,4.4,31521,205,minéral teinté,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/038_B0CZP6FLPK.png
39,EltaMD UV Daily Tinted SPF 40,spf,33.25,4.6,43811,92,teinté,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/039_B00J5KDCO2.png
40,Supergoop! Unseen Sunscreen,spf,24.7,4.6,19185,291,chimique invisible,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/040_B0DPNL864S.png
41,ISDIN Eryfotona Actinica SPF 50,spf,51.1,4.6,5509,2780,minéral,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/041_B07RXS4FQM.png
42,LRP Anthelios UV Hydra SPF 50,spf,29.98,4.7,786,2594,chimique invisible,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/042_B0CM4JVK6H.png
43,Garnier SkinActive Micellar Water,démaquillant,8.35,4.7,73366,57,eau micellaire,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/043_B017PCGABI.png
44,CeraVe Hydrating Foaming Oil Cleanser,démaquillant,15.99,4.6,5738,1499,huile/céramides,"flaking, redness","normale, seche, sensible",pm,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/044_B0C7J7CWBN.png
45,The INKEY List Oat Cleansing Balm,démaquillant,13,4.2,4836,9535,baume avoine,"flaking, redness","normale, seche, sensible",pm,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/045_B08GJ58Z6M.png
46,Bioderma Sensibio H2O,démaquillant,16.79,4.7,58326,146,eau micellaire,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/046_B002XZLAWM.png
47,DHC Deep Cleansing Oil,démaquillant,16,4.6,24184,1055,huile d'olive,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/047_B001UE60E0.png
48,Heimish All Clean Balm,démaquillant,12.99,4.6,5971,8755,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/048_B01CJ639SM.png
49,Farmacy Green Clean Cleansing Balm,démaquillant,21.6,4.6,8529,2412,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/049_B07CV28SSD.png
50,Clinique Take The Day Off Cleansing Balm,démaquillant,15,4.7,6714,4373,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/050_B07F1LRBCF.png
51,Then I Met You Living Cleansing Balm,démaquillant,29.25,4.5,601,15784,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/051_B0B5W7KRWL.png
52,The Ordinary Salicylic Acid 2% Solution,exfoliant,6.7,4.7,10914,231,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/052_B0C3PCJ6SD.png
53,COSRX BHA Blackhead Power Liquid,exfoliant,13.99,4.5,4259,4322,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/053_B00OZEJ8R8.png
54,Stridex Maximum Strength Pads,exfoliant,4.68,4.7,9650,963,BHA 2%,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/054_B000O1KP1O.png
55,Paula's Choice 2% BHA Liquid Exfoliant,exfoliant,25.9,4.5,114871,59,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/055_B00949CTQQ.png
56,Naturium BHA Liquid Exfoliant 2%,exfoliant,14.44,4.4,3211,10338,BHA encapsulé,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/056_B08881VH6J.png
57,The Ordinary Glycolic Acid 7% Toning,exfoliant,13.5,4.7,54390,6,AHA glycolique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/057_B071914GGL.png
58,The Ordinary Lactic Acid 10% + HA,exfoliant,9.2,4.6,7772,4267,AHA lactique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/058_B07NDNPCKW.png
59,The Ordinary Mandelic Acid 10% + HA,exfoliant,7.8,4.6,4345,3875,AHA mandélique,"acne, fine_lines, flaking, post_acne_marks, radiance, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/059_B07BGJMNYL.png
60,Pixi Glow Tonic,exfoliant,29,4.6,5730,15886,AHA glycolique 5%,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/060_B00KH6QX08.png
61,Good Molecules Mandelic Acid Serum,exfoliant,9.99,4.6,903,58820,AHA mandélique,"acne, fine_lines, flaking, post_acne_marks, radiance, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/061_B0D6TWLB6T.png
62,Paula's Choice 8% AHA Gel Exfoliant,exfoliant,37,4.4,3693,23692,AHA glycolique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/062_B00949CO66.png
63,Drunk Elephant T.L.C. Framboos,exfoliant,90,4.5,1208,58589,AHA/BHA,"acne, comedones, fine_lines, flaking, pores, radiance, shine, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,3,3,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/063_B00L3LDDD6.png
64,Sunday Riley Good Genes Lactic Acid,exfoliant,51,4.6,3252,5753,AHA lactique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,3,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/064_B0037LRZHA.png
65,Cetaphil Extra Gentle Daily Scrub,exfoliant,13.66,4.6,9211,3303,mécanique doux,"flaking, redness","normale, seche, sensible",pm,3x/sem,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/065_B077FZ112C.png
66,St. Ives Gentle Smoothing Oatmeal Scrub & Mask,exfoliant,9.99,4.6,5731,107902,"avoine, gommage doux","flaking, radiance, redness, texture","normale, seche, sensible",pm,3x/sem,ok,⚠ non,1,2,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/066_B00GTC1H5U.png
67,Dermalogica Daily Microfoliant,exfoliant,69,4.7,3674,7745,enzymatique (riz),"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/067_B071ZBJPH7.png
68,Tatcha The Rice Polish,exfoliant,48.28,4.7,725,21822,enzymatique,"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/068_B092MTC96K.png
69,Pixi Peel & Polish,exfoliant,21,4.5,166,116624,enzymatique (fruits),"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/069_B09SGR2F3S.png
70,The Ordinary Niacinamide 10% + Zinc 1%,serum,6,4.7,58745,37,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/070_B01MDTVZTZ.png
71,Paula's Choice BOOST 10% Niacinamide,serum,34.3,4.5,1514,15330,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/071_B01GF1EOB8.png
72,Beauty of Joseon Glow Serum (Propolis/Niacinamide),serum,11.9,4.6,1450,2778,niacinamide/propolis,"acne, pores, radiance, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/072_B0F8LBX37X.png
73,Maelove The Glow Maker,serum,31.9,4.4,1179,3598,vit C (L-AA 15%),"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠ non,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/073_B0CWN226NC.png
74,Timeless 20% Vitamin C + E + Ferulic,serum,16.17,4.3,13022,406,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠ non,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/074_B0036BI56G.png
75,Naturium Vitamin C Complex,serum,15.95,4.6,8070,1028,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠ non,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/075_B07Y469VXX.png
76,TruSkin Vitamin C Serum,serum,14.99,4.4,155664,221,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠ non,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/076_B01M4MCUAF.png
77,The Ordinary Azelaic Acid 10%,serum,12.2,4.5,7357,77,azélaïque,"acne, dark_spots, post_acne_marks, redness, tone_evenness","grasse, mixte, normale, seche, sensible",both,3x/sem,ok,ok,1,3,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/077_B06WD5J8KY.png
78,Paula's Choice BOOST 10% Azelaic Acid,serum,39,4.3,6168,1511,azélaïque,"acne, dark_spots, post_acne_marks, redness, tone_evenness","grasse, mixte, normale, seche, sensible",both,3x/sem,ok,ok,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/078_B00V4PNAI4.png
79,The Ordinary Hyaluronic Acid 2% + B5,serum,9.9,4.7,37345,34,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,3x/sem,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/079_B01MYEZPC8.png
80,La Roche-Posay Hyalu B5 Serum,serum,28.47,4.6,35477,357,HA/madécassoside,"fine_lines, flaking, redness","mixte, normale, seche, sensible",both,3x/sem,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/080_B075VX4QVM.png
