#,Produit,Catégorie,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Sensible,Irritation,Force,Preuve,Sans parfum,Image
81,Vichy Minéral 89,serum,22.49,4.6,46978,2291,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,3x/sem,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/081_B06XC5PQGL.png
82,Drunk Elephant B-Hydra,serum,54,4.6,2461,25285,HA/pro-vit B5,"fine_lines, flaking, redness","mixte, normale, seche, sensible",both,3x/sem,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/082_B01B9OEDKS.png
83,Purito Centella Unscented Serum,serum,27.99,4.5,2482,185097,centella,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/083_B081ZQFNBK.png
84,La Roche-Posay Cicaplast Baume B5,serum,14.23,4.7,21446,68,panthénol/madécassoside,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/084_B0060OUV5Y.png
85,Dr. Jart+ Cicapair Serum,serum,43.2,4.5,165,36455,centella,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/085_B0D2GPJF6H.png
86,The Ordinary Multi-Peptide + HA (« Buffet »),serum,19.9,4.7,2522,1534,peptides,"fine_lines, wrinkles","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/086_B0BLHW7JZM.png
87,Naturium Multi-Peptide Advanced Serum,serum,18.99,4.6,976,4229,peptides,"fine_lines, wrinkles","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/087_B0CQTSM65J.png
88,The Ordinary Alpha Arbutin 2% + HA,serum,11.5,4.5,7108,1238,arbutine,"dark_spots, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/088_B06XCZFCFZ.png
89,Good Molecules Discoloration Correcting Serum,serum,11.94,4.4,15192,487,ac. tranexamique,"dark_spots, post_acne_marks, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,1,3,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/089_B08RJ4ZHXJ.png
90,Naturium Tranexamic Topical Acid 5%,serum,12.15,4.2,3317,3774,ac. tranexamique,"dark_spots, post_acne_marks, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,1,3,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/090_B086YZRHH7.png
91,The Ordinary Retinol 0.2% in Squalane,traitement,8.1,4.6,4790,4530,rétinol (débutant),"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/091_B077DWJ4H5.png
92,The Ordinary Granactive Retinoid 2% Emulsion,traitement,12.1,4.6,4761,1722,rétinoïde doux,"acne, fine_lines, flaking, pores, redness, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/092_B071HHSMTT.png
93,CeraVe Resurfacing Retinol Serum,traitement,17.74,4.6,56320,431,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/093_B07VWSN95S.png
94,Differin Adapalene Gel 0.1%,traitement,9.97,4.5,71104,270,adapalène,"acne, comedones, texture","grasse, mixte",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/094_B07L1PHSY9.png
95,RoC Retinol Correxion Deep Wrinkle Night,traitement,21.97,4.4,23899,1253,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/095_B00027DMI8.png
96,Paula's Choice CLINICAL 1% Retinol Treatment,traitement,45.5,4.3,5484,5084,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/096_B00L5O2ZXK.png
97,Olay Regenerist Retinol24 Night,traitement,29.94,4.6,15563,1216,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/097_B07XQBY5QQ.png
98,Drunk Elephant A-Passioni Retinol Cream,traitement,76,4.5,348,50175,rétinol 1%,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/098_B08TGGGZM5.png
99,Medik8 Crystal Retinal 3,traitement,48.75,4.4,773,3580,rétinal,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/099_B0BHX7NYJG.png
100,Avène Retrinal 0.1 Intensive,traitement,47.6,4.5,489,5627,rétinal,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/100_B0DPNMY8WR.png
101,PanOxyl Acne Foaming Wash 10% BPO,traitement,9.07,4.6,81391,12,peroxyde de benzoyle,acne,"grasse, mixte",pm,1-2x/sem,ok,⚠ non,3,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/101_B081KL2QYJ.png
102,La Roche-Posay Effaclar (acné),traitement,18.79,4.7,906,4636,acide salicylique,"acne, comedones, pores, shine","grasse, mixte",pm,3x/sem,⛔ non,⚠ non,2,3,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/102_B0F3CD1Y9B.png
103,Naturium Azelaic Topical Acid 10%,traitement,15.19,4.4,5206,1728,azélaïque,"acne, dark_spots, post_acne_marks, redness, tone_evenness","grasse, mixte, normale, seche, sensible",pm,3x/sem,ok,ok,1,3,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/103_B086Z6T13D.png
104,Murad Rapid Dark Spot Correcting Serum,traitement,58.8,4.2,2159,11037,tranexamique/glycolic,"dark_spots, post_acne_marks, tone_evenness","mixte, normale, seche",pm,3x/sem,ok,ok,1,3,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/104_B08KR79NBR.png
105,La Roche-Posay Mela B3 Dark Spot Serum,traitement,32.03,4.4,14084,737,niacinamide/tranexamique,"dark_spots, pores, post_acne_marks, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",pm,3x/sem,ok,ok,1,3,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/105_B0CM4B43DZ.png
106,Aztec Secret Indian Healing Clay,masque,15.95,4.6,28824,27019,argile bentonite,"comedones, pores, shine","grasse, mixte",pm,1-2x/sem,ok,⚠ non,1,2,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/106_B00S7ZPB8Q.png
107,The Ordinary Salicylic Acid 2% Masque,masque,13.8,4.6,4769,4019,argile/BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,2,3,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/107_B07SZ9PTLP.png
108,Innisfree Super Volcanic Pore Clay Mask,masque,12.6,4.6,1992,5934,argile volcanique,"comedones, pores, shine","grasse, mixte",pm,1-2x/sem,ok,⚠ non,1,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/108_B0CQZ3W88P.png
109,Origins Clear Improvement Charcoal Mask,masque,39,4.5,534,27937,charbon,"fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,1-2x/sem,ok,⚠ non,1,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/109_B07N1TCC7L.png
110,Neutrogena Hydro Boost Hydrating Mask,masque,35.88,4.3,3736,24688,hydratant (hydrogel),flaking,"normale, seche",pm,1-2x/sem,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/110_B076H45H68.png
111,Laneige Water Sleeping Mask,masque,23.1,4.6,585,4498,hydratant nuit,flaking,"normale, seche",pm,1-2x/sem,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/111_B0F7ZJQP4K.png
112,Summer Fridays Jet Lag Mask,masque,49,4.6,1056,4404,hydratant,flaking,"normale, seche",pm,1-2x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/112_B09FYCGF57.png
113,Drunk Elephant F-Balm Waterfacial,masque,56,4.5,422,168604,hydratant nuit,flaking,"normale, seche",pm,1-2x/sem,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/113_B07ZQMX331.png
114,The Ordinary AHA 30% + BHA 2% Peeling,masque,9.5,4.6,30603,801,peeling fort,"radiance, texture, tone_evenness",tous,pm,1-2x/sem,ok,⚠ non,4,4,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/114_B071D4D5DT.png
115,Dr Dennis Gross Alpha Beta Daily Peel,masque,75.2,4.5,3929,7368,AHA/BHA pads,"acne, comedones, fine_lines, flaking, pores, radiance, shine, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,3,3,5,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/115_B00EFYG5VU.png
116,Drunk Elephant T.L.C. Sukari Babyfacial,masque,80,4.5,1054,59827,AHA/BHA peeling,"acne, comedones, fine_lines, flaking, pores, radiance, shine, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,⛔ non,⚠ non,4,4,5,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/116_B0GT7NJXV9.png
117,Origins Drink Up Intensive Overnight Mask,masque,39,4.7,624,26275,"acide hyaluronique, niacinamide, avocat","fine_lines, flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",pm,1-2x/sem,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/117_B07N1V73VJ.png
118,La Roche-Posay Cicaplast Baume B5,masque,14.23,4.7,21446,68,panthénol/madécassoside,"flaking, redness","normale, seche, sensible",pm,1-2x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/118_B0060OUV5Y.png
119,Dr. Jart+ Cicapair Sheet Mask,masque,7,4.5,215,21883,centella,"flaking, redness","normale, seche, sensible",pm,1-2x/sem,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/119_B0D2D1VPD4.png
120,Kiehl's Calendula Petal Calming Mask,masque,47,4.5,171,98210,calendula,"flaking, redness","normale, seche, sensible",pm,1-2x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/120_B08QFC5NS1.png
121,The Ordinary Caffeine Solution 5% + EGCG,contour_yeux,9.2,4.4,17936,303,caféine,"under_eye_circles, under_eye_puffiness",tous,both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/121_B01MUZVE1C.png
122,CeraVe Eye Repair Cream,contour_yeux,12.72,4.3,73806,343,niacinamide/céramides,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/122_B00JJPMXDO.png
123,The INKEY List Caffeine Eye Cream,contour_yeux,7.7,4.0,5773,3267,caféine,"under_eye_circles, under_eye_puffiness",tous,both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/123_B07GLNN427.png
124,Neutrogena Hydro Boost Eye Gel-Cream,contour_yeux,14.67,4.5,21089,5577,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/124_B00NR1YIKM.png
125,RoC Retinol Correxion Eye Cream,contour_yeux,41.39,4.6,468,119809,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",both,daily,⛔ non,⚠ non,4,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/125_B000NE8C5I.png
126,Olay Eyes Ultimate Eye Cream,contour_yeux,29.94,4.3,13078,6665,peptides/teinté,"fine_lines, wrinkles","mixte, normale, seche",both,daily,ok,ok,0,2,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/126_B01EHW5JYI.png
127,La Roche-Posay Pigmentclar Eyes,contour_yeux,33.73,4.4,3785,12024,niacinamide/caféine,"pores, redness, shine, tone_evenness, under_eye_circles, under_eye_puffiness","grasse, mixte, sensible",both,daily,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/127_B00HR1JRTU.png
128,Kiehl's Creamy Eye Treatment Avocado,contour_yeux,28,4.5,2935,2512,avocat/hydratant,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/128_B000S97MAY.png
129,Drunk Elephant C-Tango Eye Cream,contour_yeux,65,4.4,1096,59853,vit C/peptides,"dark_spots, fine_lines, radiance, tone_evenness, wrinkles","mixte, normale, seche",both,daily,ok,⚠ non,1,3,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/129_B07CNJPVXP.png
130,CeraVe Skin Renewing Eye Cream,contour_yeux,16.88,4.5,9210,816,"peptides, caféine, céramides","fine_lines, flaking, redness, under_eye_circles, under_eye_puffiness, wrinkles","mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/130_B0B3GCCRVH.png
131,Tatcha Luminous Deep Hydration Firming Eye Serum,contour_yeux,92,4.4,342,66253,caféine/algue,"flaking, under_eye_circles, under_eye_puffiness","normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/131_B019IG2IWE.png
132,Naturium Vitamin Bright Illuminating Eye Cream,contour_yeux,15.29,4.1,357,54105,"vitamine K, pigments illuminateurs, caféine","tone_evenness, under_eye_circles, under_eye_puffiness",tous,both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/132_B0CFYQC6FV.png
133,Hero Cosmetics Mighty Patch Original,soin_cible,10.39,4.6,184159,3,hydrocolloïde,acne,"grasse, mixte",pm,3x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/133_B074PVTPBW.png
134,Starface Hydro-Star Patches,soin_cible,10.49,4.5,9309,3517,hydrocolloïde,acne,"grasse, mixte",pm,3x/sem,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/134_B0B4V88LMC.png
135,Mario Badescu Drying Lotion,soin_cible,10.8,4.5,36398,2073,soufre/calamine,"acne, redness, shine","grasse, mixte, sensible",pm,3x/sem,ok,⚠ non,2,3,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/135_B0017SWIU4.png
136,Neutrogena On-the-Spot Acne Treatment,soin_cible,7.94,4.6,4273,2225,peroxyde benzoyle 2.5%,acne,"grasse, mixte",pm,1-2x/sem,ok,⚠ non,3,4,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/136_B00UOLIOC6.png
138,Clinique Acne Solutions Clinical Clearing Gel,soin_cible,24,4.6,171,13687,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/138_B0DS6MZC9S.png
139,Peace Out Acne Healing Dots,soin_cible,13.3,4.5,886,5211,hydrocolloïde/BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/139_B07JLH43QJ.png
140,Kate Somerville EradiKate Acne Treatment,soin_cible,20.3,4.5,2676,10151,soufre 10%,"acne, shine","grasse, mixte",pm,3x/sem,ok,⚠ non,2,3,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/140_B001ZSBI8Y.png
141,Hero Cosmetics Micropoint for Blemishes,soin_cible,8.95,4.5,5240,656,patch microneedle/BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔ non,⚠ non,2,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/141_B0BPDBYRTZ.png
142,CeraVe Skin Renewing Night Cream,hydratant,15.44,4.6,56430,196,"peptides, ceramides, niacinamide","fine_lines, flaking, pores, redness, shine, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/142_B00SNPCSUY.png
143,Cetaphil Healthy Renew Night Cream,hydratant,16.97,4.4,2057,6389,"peptides, niacinamide","fine_lines, pores, redness, shine, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/143_B0C15N3473.png
144,Olay Regenerist Night Recovery Cream,hydratant,27.44,4.6,18181,5639,"peptides, niacinamide","fine_lines, pores, redness, shine, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/144_B01M4R7CC5.png
145,Naturium Plant Ceramide Rich Moisture Cream,hydratant,18.99,4.4,1453,14545,"ceramides, acide hyaluronique","fine_lines, flaking, redness","mixte, normale, seche, sensible",pm,daily,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/145_B086W1KFXP.png
146,CeraVe Oil Control Moisturizing Gel-Cream,hydratant,14.28,4.6,3119,3570,"niacinamide, acide hyaluronique","fine_lines, flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/146_B0CTTV91Z6.png
147,La Roche-Posay Toleriane Dermallergo Night,hydratant,23.98,4.6,4971,3543,"ceramides, niacinamide","flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/147_B01D2SVADM.png
148,The INKEY List Peptide Moisturizer,hydratant,12.6,4.5,1251,29551,"peptides, acide hyaluronique","fine_lines, flaking, wrinkles","mixte, normale, seche",pm,daily,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/148_B09MRGXSHL.png
149,Naturium Intense Overnight Sleeping Cream,hydratant,18.99,4.3,1002,17187,"ceramides, peptides, acide hyaluronique","fine_lines, flaking, redness, wrinkles","mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/149_B0851VV333.png
150,elf Holy Hydration Nourishing Night Cream,hydratant,12,4.6,2302,8847,"baume karite, acide hyaluronique","fine_lines, flaking","mixte, normale, seche",pm,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/150_B015XII6Q8.png
151,LOreal Age Perfect Collagen Night,hydratant,15.97,4.5,6962,9440,"peptides, niacinamide","fine_lines, pores, redness, shine, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/151_B09843F4WG.png
152,Cetaphil Rich Hydrating Night Cream,hydratant,13.88,4.5,8034,7105,"acide hyaluronique, ceramides","fine_lines, flaking, redness","mixte, normale, seche, sensible",pm,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/152_B01MG4PVTR.png
153,Neutrogena Hydro Boost Water Cream,hydratant,22.29,4.7,2372,4715,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",pm,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/153_B0CX3D74WT.png
154,Aveeno Calm + Restore Oat Gel Moisturizer,hydratant,14.22,4.5,9207,1412,"avoine, panthenol","flaking, redness","normale, seche, sensible",pm,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/154_B08D9MSGVQ.png
155,Cetaphil Night Moisturizer Lightweight,hydratant,11.48,4.6,1129,3317,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",pm,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/155_B0CRCMCBTJ.png
156,The INKEY List Bio-Active Ceramide Moisturizer,hydratant,17.6,4.6,1840,10757,"ceramides, peptides","fine_lines, flaking, redness, wrinkles","mixte, normale, seche, sensible",pm,daily,ok,ok,0,2,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/156_B0CNTKZN7F.png
